Radical number	Radical	Pinyin	Strokes	Meaning
106	白	bái	5	White
107	皮	pí	5	Skin
108	皿	mǐn	5	Dish
109	目	mù	5	Eye
110	矛	máo	5	Spear
111	矢	shǐ	5	Arrow
112	石	shí	5	Stone
113	礻	shì	4	Spirit
113	示	shì	5	Spirit
114	禸	róu	4	Rub
115	禾	hé	5	Grain
116	穴	xué	5	Cave
117	立	lì	5	Stand
118	⺮ 	zhú	6	Bamboo
118	竹	zhú	6	Bamboo
119	米	mǐ	6	Rice
120	纟	sī	3	Silk / Thread
120	糸 	sī	6	Silk / Relation
121	缶	fǒu	6	Jar
122	网	wǎng	6	Net
122	罒	wǎng	5	Net
122	罓	wǎng	4	Net
123	羊	yáng	6	Sheep
123	⺶	yáng	6	Sheep
123	⺷	yáng	6	Sheep
124	羽	yǔ	6	Feather
125	耂	lǎo	4	Old
125	老	lǎo	4	Old / Senior
126	而	ér	6	And
127	耒	lěi	6	Plaw
128	耳	ěr	6	Ear
129	聿	yù	6	Brush
130	月	ròu	4	Meat / Moon
130	肉	ròu	6	Flesh
131	臣	chén	6	Minister
132	自	zì	6	Oneself / Self
133	至	zhì	6	Arrive / Reach
134	臼	jiù	6	Mortar
135	舌	shé	6	Tongue
136	舛	chuǎn	7	Contrary
137	舟	zhōu	6	Boat / Ship
138	艮	gèn	6	Mountain
139	色	sè	6	Color
140	艹	cǎo	3	Grass
141	虍	hū	6	Stripes on a tiger
142	虫	chóng	6	Insect
143	血	xuè	6	Blood
144	行	xíng	6	Walk
145	衤	yī	5	Clothes
145	衣	yī	6	Clothes
146	覀	yà	6	Cover
147	见	jiàn	4	See
148	角	jiǎo	7	Horn
149	讠	yán	2	Speech
149	言	yán	7	Speech
150	谷	gǔ	7	Valley / Grain
151	豆	dòu	7	Bean
152	豕	shǐ	7	Pig
153	豸	zhì	7	Legless insect
154	贝	bèi	4	Shell
155	赤	chì	7	Red
156	走	zǒu	7	Walk
157	足	zú	7	Foot
158	身	shēn	7	Body
159	车	chē	4	Cart / Vehicle
160	辛	xīn	7	Bitter
161	辰	chén	7	Day time
162	辶	chuò	3	Walk
163	阝	yì	3	City
163	邑	yì	7	City
164	酉	yǒu	7	Wine vessel
165	釆	biàn	7	Collect
166	里	lǐ	7	Mile / Inside
167	钅	jīn	5	Metal
167	金	jīn	8	Metal / Gold
168	长	cháng	4	Long
169	门	mén	3	Gate
170	阜	fù	8	Mound
170	⻏	fù	3	Mound
171	隶	lì	8	Slave
172	隹	zhuī	8	Short-tailed bird
173	雨	yǔ	8	Rain
174	青	qīng	8	Blue/Green
175	非	fēi	8	Wrong / Negate
176	面	miàn	9	Face
177	革	gé	9	Leather
178	韦	wěi	4	Soft leather
179	韭	jiǔ	9	Leek
180	音	yīn	9	Sound
181	页	yè	6	Page
182	风	fēng	4	Wind
183	飞	fēi	3	Fly
184	食	shí	9	Eat / Food
184	 饣	shí	3	Eat
185	首	shǒu	9	Head
186	香	xiāng	9	Fragrant
187	马	mǎ	3	Horse
188	骨	gǔ	9	Bone
189	高	gāo	10	High
190	髟	biāo	10	Long hair
191	门	mén	3	Door
191	鬥	dòu	10	Fight
192	鬯	chàng		Sacrificial wine
193	鬲	lì	10	Cauldron
194	鬼	guǐ	9	Ghost
195	鱼	yú	8	Fish
196	鸟	niǎo	5	Bird
197	卤	lǔ	7	Brine
198	鹿	lù	12	Deer
199	麦	mài	7	Wheat
200	麻	má	11	Hemp
201	黄	huáng	11	Yellow
202	黍	shǔ	12	Millet
203	黑	hēi	12	Black
204	黹	zhǐ	12	Embroidery
205	黾	měng	8	Frog
206	鼎	dǐng	11	Tripod
207	鼓	gǔ	13	Drum
208	鼠	shǔ	13	Rat
209	鼻	bí	14	Nose
210	齐	qí	6	Neat
211	齿	chǐ	8	Tooth
212	龙	lóng	5	Dragon
213	龟	guī	7	Turtle
214	龠	yuè		Flute
